# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	23429
#@/user_id	dc32b531-effb-4e33-b228-85587d1b6c4a
a 	啊	c=99 d=0.100281 t=23361
qi dong fu wu qi 	启动服务器	c=1 d=1 t=7861
qi er 	其二	c=0 d=0.1 t=16951
qi er xi de 	其二戏的	c=1 d=1 t=16952
qi fa 	启发	c=1 d=1 t=20550
qi fa shi 	启发式	c=1 d=1 t=17312
qi guai 	奇怪	c=0 d=0.1 t=5115
qi lai 	起来	c=2 d=1 t=23060
qi lai hu tao 	七濑胡桃	c=1 d=1 t=9655
qi lai le 	起来了	c=1 d=1 t=6037
qi lin 	麒麟	c=2 d=1 t=13065
qi pao shui 	气泡水	c=1 d=1 t=9610
qi shi 	其实	c=4 d=1.956 t=23008
qi si le 	气死了	c=1 d=1 t=12693
qi si wo le 	气死我了	c=2 d=1.21871 t=14280
qi ta 	其他	c=17 d=0.959856 t=22822
qi ta de 	其他的	c=3 d=1 t=11975
qi ta qing kuang 	其他情况	c=1 d=1 t=1134
qi ta ren 	其他人	c=3 d=1 t=21074
qi ta wen jian jia 	其他文件夹	c=1 d=1 t=22823
qi ta yong hu 	其他用户	c=1 d=1 t=22477
qi ta zi yuan 	其他资源	c=1 d=1 t=16125
qi tian 	七天	c=1 d=1 t=7629
qi wan cheng 	器完成	c=1 d=1 t=16479
qi yong 	启用	c=1 d=1 t=21471
qi yong 	起用	c=2 d=1.92312 t=21469
qi yu 	其余	c=2 d=1.00001 t=17421
qi yun 	旗云	c=0 d=0.1 t=2304
qi yun le 	旗云了	c=1 d=1 t=2305
qi yun le 	气晕了	c=1 d=0.1 t=21600
qi zhong 	其中	c=6 d=1 t=22989
qia hao 	恰好	c=1 d=1 t=15199
qian 	前	c=3 d=1 t=13664
qian dao 	签到	c=1 d=1 t=3174
qian duan 	前端	c=4 d=1.02133 t=12857
qian hou 	前后	c=1 d=1 t=22408
qian jie 	前街	c=0 d=0.1 t=15084
qian jie ban 	前街版	c=1 d=1 t=15085
qian liang ti 	前两题	c=2 d=1.93396 t=10294
qian mian 	前面	c=1 d=0.114264 t=8079
qian ming 	签名	c=2 d=1 t=22246
qian nian 	前年	c=1 d=1 t=13069
qian ru 	嵌入	c=4 d=2.91678 t=8539
qian ru shi 	嵌入式	c=9 d=1.71534 t=15409
qian san 	前三	c=1 d=0.1 t=10224
qian san ti 	前三题	c=1 d=1 t=10225
qian shen 	前身	c=1 d=1 t=13567
qian shi 	前世	c=1 d=1 t=13500
qian ti shi 	前提是	c=1 d=1 t=7870
qian wan 	千万	c=2 d=1.99005 t=15352
qian wang 	前往	c=1 d=1 t=21214
qian wen 	前文	c=1 d=1 t=15858
qian yi 	前一	c=1 d=1 t=915
qian yi 	迁移	c=3 d=1 t=6798
qian yi ci 	前一次	c=1 d=1 t=1105
qian yi dao 	迁移到	c=1 d=1 t=4159
qian zai 	千载	c=1 d=1 t=12822
qian zai 	潜在	c=1 d=1 t=12823
qian zhui 	前缀	c=1 d=1 t=1716
qian zi se 	浅紫色	c=1 d=1 t=13499
qiang 	墙	c=1 d=1 t=7331
qiang 	强	c=11 d=1 t=13993
qiang da 	强大	c=1 d=1 t=8020
qiang le 	墙了	c=2 d=1.92312 t=18795
qiang tui 	强推	c=1 d=1 t=14171
qiang xiang guan 	强相关	c=1 d=1 t=22870
qiang zhan 	强占	c=2 d=1.00008 t=17183
qiang zhan 	抢占	c=1 d=1 t=17184
qiang zhi 	强制	c=2 d=1 t=11438
qiao 	巧	c=0 d=0.1 t=10540
qiao 	敲	c=3 d=1 t=18535
qiao dai ma 	敲代码	c=3 d=2.68742 t=10499
qiao de 	敲得	c=1 d=1 t=3996
qiao er 	乔尔	c=1 d=1 t=10553
qiao ji 	敲击	c=1 d=1 t=13350
qiao jian pan 	敲键盘	c=1 d=1 t=4033
qiao mu gua 	巧木瓜	c=1 d=1 t=10541
qiao ran li kai 	悄然离开	c=0 d=0.1 t=21659
qiao zhuo zi 	敲桌子	c=1 d=1 t=7555
qie 	且	c=5 d=1.00004 t=18330
qie 	切	c=5 d=1.00003 t=18329
qie ban 	切半	c=0 d=0.1 t=15085
qie er xi 	切尔西	c=4 d=1.97531 t=16958
qie huan 	切换	c=34 d=1.01471 t=22323
qie huan dao 	切换到	c=3 d=2.71258 t=570
qie pian 	切片	c=1 d=1.09003 t=23409
qie zi bao 	茄子煲	c=1 d=1 t=17987
qin min 	亲民	c=1 d=1 t=12178
qin shi 	寝室	c=2 d=1 t=6218
qing 	请	c=3 d=1 t=20654
qing 	青	c=2 d=1 t=23382
qing bang wo 	请帮我	c=1 d=1 t=22374
qing bo ben 	轻薄本	c=1 d=1 t=7689
qing chun 	青春	c=1 d=1 t=14802
qing dan 	清单	c=1 d=1 t=23050
qing dao 	青岛	c=6 d=2.1565 t=14980
qing dao pi jiu 	青岛啤酒	c=1 d=1 t=23148
qing dian 	清点	c=1 d=1 t=13354
qing fan yi 	请翻译	c=1 d=1 t=13458
qing hai 	青海	c=1 d=1 t=7483
qing hua 	清华	c=2 d=1 t=21741
qing hua yuan 	清华园	c=1 d=1 t=479
qing jiao 	青椒	c=2 d=1.99005 t=17991
qing jiao xia 	请教下	c=1 d=1 t=2568
qing kong 	清空	c=1 d=1 t=5112
qing kuang 	情况	c=20 d=1.00161 t=21450
qing kuang xia 	情况下	c=3 d=1 t=17974
qing li 	清理	c=6 d=2.29115 t=20888
qing li dao 	清理到	c=1 d=1 t=20786
qing li ping mu 	清理屏幕	c=1 d=1 t=3262
qing liang 	轻量	c=10 d=1.97531 t=19540
qing liang de 	清凉地	c=1 d=1 t=16216
qing liang fu wu qi 	轻量服务器	c=1 d=1 t=19533
qing mei 	青梅	c=0 d=0.1 t=11436
qing mei lv cha 	青梅绿茶	c=1 d=1 t=11437
qing ni 	请你	c=1 d=1 t=17502
qing nian 	青年	c=1 d=1 t=6870
qing qiu 	请求	c=13 d=2.52299 t=22714
qing tian 	晴天	c=1 d=1 t=10148
qing wen 	请问	c=1 d=1 t=4179
qing xi 	清晰	c=1 d=1 t=12953
qing xing 	清醒	c=1 d=1 t=18087
qing xu 	情绪	c=1 d=1 t=18090
qing yi se 	清一色	c=1 d=1 t=12059
qiu 	球	c=4 d=1 t=18253
qiu chang 	球场	c=1 d=1 t=23356
qiu sheng 	求生	c=1 d=1 t=10744
qiu yuan 	球员	c=2 d=1.83946 t=11731
qu 	区	c=3 d=1.41686 t=9693
qu 	去	c=11 d=1 t=23132
qu 	取	c=1 d=1 t=15949
qu ba 	去吧	c=0 d=0.1 t=19592
qu bie 	区别	c=25 d=1.06875 t=22490
qu bu qu 	去不去	c=2 d=1.8825 t=4543
qu chi 	去吃	c=2 d=1.00592 t=9434
qu chu 	去除	c=1 d=1 t=22469
qu chu 	取出	c=1 d=1 t=22468
qu dao 	取到	c=1 d=1 t=8754
qu diao 	去掉	c=1 d=1 t=3871
qu dong 	驱动	c=14 d=4.27548 t=19483
qu dong cheng xu 	驱动程序	c=1 d=1 t=19135
qu fen 	区分	c=2 d=1.93707 t=16543
qu guan 	取关	c=1 d=1 t=9578
qu guo 	去过	c=0 d=0.1 t=10105
qu hui 	取回	c=1 d=1 t=20383
qu jue yu 	取决于	c=1 d=1 t=4459
qu kan 	去看	c=0 d=0.1 t=12923
qu le 	去了	c=1 d=1 t=3589
qu na chi 	去哪吃	c=1 d=1 t=18913
qu nian 	去年	c=1 d=1 t=7749
qu shi 	趋势	c=1 d=1 t=3764
qu xi 	去洗	c=1 d=1 t=22501
qu xiao 	取消	c=7 d=1.01293 t=23373
qu xiao diao 	取消掉	c=1 d=1 t=13775
qu xiao guan zhu 	取消关注	c=2 d=1.97045 t=21301
qu xiao yin yong 	取消引用	c=1 d=1 t=21974
qu zheng 	取整	c=4 d=3.45447 t=11239
qu zhi ke shu 	屈指可数	c=2 d=1 t=10289
quan 	全	c=6 d=1 t=23224
quan 	券	c=6 d=1.00004 t=16065
quan bu 	全部	c=11 d=1.92345 t=11181
quan chang 	全场	c=1 d=1 t=11741
quan dou 	全都	c=1 d=0.1 t=19894
quan huan hui 	全换会	c=1 d=1 t=2299
quan ju 	全剧	c=1 d=1 t=11637
quan ju 	全局	c=5 d=1 t=19165
quan mei le 	全没了	c=1 d=1 t=1460
quan mian 	全面	c=1 d=1 t=10850
quan ping 	全屏	c=2 d=1 t=23374
quan shi 	全是	c=3 d=1.99057 t=5043
quan xian 	权限	c=6 d=2.43604 t=12551
quan xian bu zu 	权限不足	c=1 d=1 t=22461
quan xiang lian 	全相联	c=1 d=1 t=8679
quan xiang lian 	券相连	c=1 d=1 t=8671
quan xin 	全新	c=1 d=1 t=7829
quan zhan 	全站	c=2 d=1.99501 t=9716
quan zhong 	全中	c=1 d=1 t=13949
quan zhong 	权重	c=1 d=1 t=13950
quan zi 	圈子	c=1 d=1 t=11118
quan zi wai 	圈子外	c=1 d=1 t=11110
que 	却	c=3 d=1.02774 t=23291
que 	雀	c=2 d=1 t=18925
que bu xing 	却不行	c=1 d=1 t=23292
que dian 	缺点	c=3 d=1.9802 t=13100
que ding 	确定	c=5 d=1.00001 t=20064
que ding fang fa 	确定方法	c=1 d=1 t=5640
que fa 	缺乏	c=1 d=1 t=22118
que shi 	确实	c=16 d=1.06891 t=20930
que shi 	缺失	c=3 d=1.00988 t=6950
que shi a hao 	确实啊好	c=1 d=1 t=13415
que shi hao 	确实好	c=1 d=1 t=18750
que shi hao yong 	确实好用	c=1 d=1 t=13047
que shi ke yi 	确实可以	c=1 d=1 t=14624
que shi shuang 	确实爽	c=1 d=1 t=2414
que ye 	缺页	c=6 d=1 t=19421
que ye gu zhang 	缺页故障	c=6 d=1.17943 t=16617
qun 	群	c=2 d=1.98511 t=11944
qun hui 	群晖	c=1 d=1 t=3459
qun zhong 	群众	c=1 d=1 t=10972
ran 	然	c=0 d=0.1 t=2080
ran er 	然而	c=1 d=1 t=12801
ran hou 	然后	c=89 d=5.73534 t=23176
ran hou diao yong 	然后调用	c=1 d=1 t=22597
ran hou hen wan xi 	然后很惋惜	c=1 d=1 t=8607
ran hou jiu zhe yang le 	然后就这样了	c=1 d=1 t=2344
ran hou lai 	然后来	c=1 d=1 t=3904
ran hou wang le 	然后忘了	c=1 d=1 t=11255
ran hou wo qu kan 	然后我去看	c=1 d=1 t=12924
ran hou yong 	然后用	c=1 d=1 t=2081
rang 	让	c=16 d=1.0018 t=15272
rang ni 	让你	c=2 d=1 t=12321
rang ta 	让他	c=2 d=1 t=22413
rang wo 	让我	c=8 d=1.00937 t=12924
rang wo kan 	让我看	c=1 d=1 t=12926
rang wo ma 	让我妈	c=1 d=1 t=19552
rao guo le 	绕过了	c=1 d=1 t=15809
re 	热	c=0 d=0.100002 t=21392
re bang 	热榜	c=3 d=1.8258 t=22622
re bian yi 	热编译	c=1 d=1 t=21393
re ci 	热词	c=1 d=1 t=16843
re du 	热度	c=3 d=1 t=20843
re ping 	热评	c=1 d=1 t=10654
re si le 	热死了	c=0 d=0.1 t=9832
re su si 	热苏斯	c=1 d=1 t=3619
ren 	人	c=15 d=0.199501 t=22637
ren bu liao 	忍不了	c=1 d=1 t=2389
ren he 	任何	c=5 d=1.65705 t=22115
ren he ren 	任何人	c=1 d=1 t=12278
ren ji 	人机	c=1 d=1 t=9358
ren ji 	人际	c=1 d=1 t=9357
ren jia 	人家	c=2 d=1 t=12069
ren le 	忍了	c=1 d=1 t=2365
ren men 	人们	c=1 d=1 t=15440
ren nai li 	忍耐力	c=1 d=1 t=13992
ren ne 	人呢	c=2 d=1.02321 t=20621
ren qi er 	人气儿	c=1 d=1 t=19544
ren qun 	人群	c=1 d=1 t=10978
ren sheng 	人生	c=1 d=1 t=15339
ren shi jian 	人世间	c=1 d=1 t=14748
ren shou 	忍受	c=0 d=0.1 t=6835
ren shou le 	忍受了	c=1 d=1 t=6836
ren tai duo le 	人太多了	c=1 d=1 t=19651
ren wei 	认为	c=2 d=1.97531 t=19991
ren wen guan huai 	人文关怀	c=1 d=1 t=14320
ren wu 	人物	c=2 d=1.00002 t=22211
ren wu 	任务	c=7 d=1.3085 t=22589
ren yi 	任意	c=1 d=1 t=9755
ren yuan 	人员	c=2 d=1.00071 t=8361
ren zhe 	忍者	c=2 d=1.99501 t=13997
reng 	扔	c=1 d=1 t=6801
reng ge 	扔个	c=1 d=1 t=5628
ri 	日	c=4 d=1 t=18140
ri chang 	日常	c=1 d=1 t=18486
ri ji 	日记	c=3 d=2.71303 t=23080
ri ye 	日夜	c=0 d=0.1 t=4794
ri zhi 	日志	c=4 d=0.1 t=22367
ri zi 	日子	c=2 d=1.97531 t=9533
rong he 	融合	c=4 d=2.24659 t=13733
rong liang 	容量	c=2 d=1.8781 t=15516
rong qi 	容器	c=8 d=1.07282 t=22681
rong ren 	容忍	c=2 d=1.93707 t=2360
rong ru 	融入	c=1 d=1 t=11117
rong yi 	容易	c=1 d=1 t=18049
rong yi zui 	容易醉	c=0 d=0.1 t=14849
rong yu 	冗余	c=1 d=1 t=13817
rong yu 	荣誉	c=1 d=1 t=13815
rou yan ke jian 	肉眼可见	c=0 d=0.1 t=9388
rou yan ke jian de 	肉眼可见的	c=1 d=1 t=9389
ru 	入	c=3 d=0.1 t=20282
ru 	如	c=12 d=1.00359 t=21380
ru a 	如啊	c=1 d=0.1 t=23174
ru a hou 	如啊后	c=1 d=1 t=23175
ru ci 	如此	c=10 d=1 t=18845
ru ci duo 	如此多	c=1 d=1 t=9113
ru ci zhi kuai 	如此之快	c=0 d=0.1 t=14791
ru ci zhi kuai a 	如此之快啊	c=1 d=1 t=14792
ru e hua 	如恶化	c=1 d=1 t=4822
ru er 	入耳	c=1 d=1 t=14783
ru guo 	如果	c=48 d=1.57371 t=22867
ru he 	如何	c=248 d=13.1285 t=22788
ru he ping jia 	如何评价	c=2 d=1.00003 t=9805
ru keng 	入坑	c=1 d=1 t=19038
ru men 	入门	c=3 d=1.03517 t=19945
ru shou le 	如手了	c=1 d=1 t=50
ru tong 	如同	c=1 d=1 t=11660
ru tu 	如图	c=1 d=1 t=13571
ru xia 	如下	c=8 d=1 t=21462
ru zhan 	入栈	c=1 d=1 t=6424
ruan bing du 	朊病毒	c=4 d=3.92615 t=10711
ruan gong 	软工	c=2 d=1 t=12676
ruan jia 	软甲	c=1 d=1 t=4072
ruan jian 	软件	c=25 d=1 t=22794
ruan jian an 	软件按	c=1 d=1 t=658
ruan jian dou yong 	软件都用	c=1 d=1 t=12711
ruan jian gong cheng 	软件工程	c=4 d=2.9267 t=17644
ruan jian yuan 	软件园	c=1 d=1 t=10685
ruan jian yuan 	软件源	c=1 d=1 t=13067
ruan lia jie 	软俩接	c=1 d=1 t=22301
ruan lian jie 	软连接	c=2 d=1.95123 t=1451
ruan lian jie 	软链接	c=8 d=1.09003 t=22297
ruan lian jie er 	软链接而	c=1 d=1 t=22277
ruan yi feng 	阮一峰	c=5 d=1 t=11051
rui 	锐	c=1 d=1 t=6614
rui bu 	锐步	c=3 d=1.04854 t=6610
ruo 	弱	c=14 d=2.64966 t=1771
sa 	萨	c=0 d=0.1 t=437
sa da 	萨大	c=1 d=1 t=429
sa kai 	撒开	c=0 d=0.1 t=2399
sa kai duo jiu 	撒开多久	c=1 d=1 t=2400
sa la 	萨拉	c=0 d=0.100004 t=3353
sa la ke ji de 	萨拉科技的	c=1 d=1 t=3354
sa la ken de ji 	萨拉肯德基	c=1 d=1 t=1331
sa niao 	撒尿	c=1 d=1 t=2841
sai 	塞	c=1 d=1 t=14207
sai 	赛	c=0 d=0.1 t=4603
sai cheng 	赛程	c=21 d=4.46455 t=16925
sai er da 	塞尔达	c=2 d=1.00364 t=9598
san 	三	c=5 d=1 t=18596
san 	伞	c=2 d=1.8781 t=3916
san bu qu 	三部曲	c=2 d=1 t=14806
san ci yuan 	三次元	c=0 d=0.1 t=11573
san deng jiang 	三等奖	c=0 d=0.1 t=3558
san dian 	三点	c=2 d=1 t=15876
san fa 	散发	c=1 d=1 t=13804
san fen zhong 	三分钟	c=2 d=1.99005 t=4626
san ge 	三个	c=5 d=1.90032 t=15235
san ge da yi ge 	三个打一个	c=1 d=1 t=7513
san guan 	三冠	c=1 d=1 t=3705
san kuai 	三块	c=8 d=6.80127 t=11672
san kuai guang gao pai 	三块广告牌	c=1 d=1 t=11598
san nian 	三年	c=1 d=1 t=2266
san nian le 	三年了	c=1 d=1 t=2229
san re kou 	散热口	c=1 d=1 t=6545
san xing 	三星	c=1 d=1 t=12165
san zhi 	三只	c=1 d=1 t=13349
san zhong 	三种	c=2 d=1.93707 t=18371
sang 	丧	c=8 d=2.94219 t=18331
sang zi teng 	嗓子疼	c=1 d=1 t=12760
sao 	扫	c=1 d=1 t=2744
sao miao 	扫描	c=5 d=4.3628 t=10017
se 	色	c=1 d=1 t=13466
se tu 	色图	c=1 d=1 t=6202
sha 	啥	c=12 d=0.100563 t=21362
sha bi 	傻逼	c=23 d=1.99005 t=22746
sha bi le 	傻逼了	c=2 d=1 t=21649
sha bu zhi dao 	啥不知道	c=0 d=0.1 t=9948
sha duan wei 	啥断为	c=1 d=1 t=2732
sha la 	莎拉	c=2 d=1.54607 t=10734
sha lang 	砂狼	c=1 d=1 t=6024
sha le 	杀了	c=2 d=1 t=13979
sha ren 	杀人	c=1 d=1 t=19627
sha shi hou 	啥时候	c=2 d=1 t=21873
sha shi hou chi 	啥时候吃	c=1 d=1 t=18861
sha shi hou dao 	啥时候到	c=1 d=1 t=18967
sha shi hou zou 	啥时候走	c=1 d=1 t=13602
sha shu 	杀熟	c=2 d=1.92312 t=7764
sha wan yi 	啥玩意	c=4 d=1 t=17648
sha ye 	啥也	c=1 d=1 t=6225
sha ye bu hui le 	啥也不会了	c=1 d=1 t=11451
sha ye gan bu liao 	啥也干不了	c=1 d=1 t=19869
sha ye mei 	啥也没	c=0 d=0.1 t=19897
sha yi si 	啥意思	c=6 d=1.06894 t=22311
sha yong 	啥用	c=1 d=1 t=18907
shai xuan 	筛选	c=2 d=1 t=13916
shan 	山	c=2 d=1 t=22567
shan bu liao 	删不了	c=0 d=0.1 t=2272
shan chu 	删除	c=11 d=1.00001 t=22462
shan chu ba 	删除把	c=1 d=1 t=7997
shan chu le 	删除了	c=1 d=1 t=3076
shan hai 	山海	c=1 d=1 t=14906
shan le 	删了	c=3 d=1 t=18533
shan yin lu 	山阴路	c=1 d=1 t=10040
shang 	上	c=47 d=1.15704 t=22945
shang ban chang 	上半场	c=1 d=1 t=11745
shang ceng 	上层	c=1 d=1 t=14313
shang chu 	伤处	c=0 d=0.1 t=21286
shang chu a 	伤处啊	c=1 d=1 t=21287
shang chuan 	上传	c=7 d=1 t=21288
shang chuan le 	上传了	c=1 d=1 t=2057
shang ci 	上次	c=2 d=1 t=18309
shang da xue 	上大学	c=2 d=1.96561 t=8177
shang de 	上的	c=3 d=1 t=16415
shang dian 	上电	c=2 d=1.99501 t=9253
shang fen 	上坟	c=1 d=1 t=14388
shang jia zhi 	上价值	c=3 d=1 t=10652
shang ke 	上课	c=2 d=1 t=23135
shang lai 	上来	c=1 d=1 t=11115
shang mian 	上面	c=4 d=1.00001 t=19608
shang mian de 	上面的	c=2 d=1 t=19392
shang na zhao 	上哪找	c=0 d=0.1 t=7805
shang na zhao de 	上哪找的	c=1 d=1 t=7806
shang ni 	上你	c=0 d=0.1 t=13923
shang ni zhe 	上你这	c=1 d=1 t=13924
shang ping 	上屏	c=3 d=2.96536 t=1291
shang ping mu 	上屏幕	c=1 d=1 t=1325
shang qu 	上去	c=2 d=1 t=17626
shang shu 	上述	c=5 d=1 t=19964
shang tu 	上图	c=1 d=1 t=16646
shang wang 	上网	c=1 d=1 t=162
shang wen 	上文	c=3 d=1.10229 t=19116
shang wu 	上午	c=5 d=2.27575 t=23189
shang xia 	上下	c=1 d=1 t=2964
shang xia wen 	上下文	c=3 d=1 t=20321
shang xia wen qie huan 	上下文切换	c=1 d=1 t=16494
shang xia wen zhong 	上下文中	c=1 d=1 t=16763
shang xie 	上写	c=1 d=1 t=286
shang xin de ge 	伤心的歌	c=1 d=1 t=18166
shang yi ci 	上一次	c=1 d=1 t=14761
shang yi ge 	上一个	c=1 d=1 t=569
shang zhou 	上周	c=2 d=0.118686 t=19042
shao 	少	c=1 d=1 t=7906
shao chi 	少吃	c=1 d=1 t=10073
shao diao 	烧掉	c=1 d=1 t=19598
shao er 	少儿	c=1 d=1 t=20082
shao fei 	烧沸	c=1 d=1 t=18199
shao le 	少了	c=1 d=1 t=7905
shao lu 	烧录	c=1 d=1 t=6159
shao shao 	稍稍	c=1 d=1 t=18261
shao shu pai 	少数派	c=8 d=1 t=22081
shao wei 	稍微	c=1 d=1 t=18200
shao yu 	少于	c=1 d=1 t=20724
shao zuo 	少做	c=0 d=0.1 t=21825
shao zuo le 	少做了	c=1 d=1 t=21826
she 	射	c=2 d=0.1 t=22009
she 	设	c=1 d=1 t=11471
she bei 	设备	c=17 d=1 t=19356
she bei shang 	设备上	c=1 d=1 t=2791
she chi 	奢侈	c=1 d=1 t=18182
she de 	舍得	c=1 d=1 t=10059
she ding 	设定	c=1 d=1 t=6478
she e zhi 	射遏制	c=1 d=1 t=22010
she ji 	设计	c=18 d=1.35538 t=22375
she li 	设立	c=1 d=1 t=11124
she li le 	设立了	c=0 d=0.1 t=474
she li le de 	设立了的	c=1 d=1 t=475
she me 	社么	c=3 d=1 t=19969
she men 	射门	c=1 d=1 t=10406
she nong 	涉农	c=0 d=0.199501 t=7191
she nong me 	涉农么	c=2 d=1 t=21731
she qi 	舍弃	c=1 d=1 t=12294
she qu 	社区	c=3 d=1 t=11120
she shi du 	摄氏度	c=1 d=1 t=19508
she shou bang 	射手榜	c=0 d=0.1 t=5725
she xiang tou 	摄像头	c=1 d=1 t=12351
she you 	舍友	c=2 d=1.38674 t=20695
she zhi 	设置	c=49 d=1.09699 t=22755
shei 	谁	c=8 d=1 t=23358
shei neng 	谁能	c=1 d=1 t=1367
shei shuo 	谁说	c=3 d=1.0091 t=11329
shei xi huan 	谁喜欢	c=1 d=1 t=10691
shen 	神	c=1 d=1 t=7779
shen cha 	审查	c=1 d=1 t=11080
shen du 	深度	c=1 d=1 t=867
shen du xue xi 	深度学习	c=2 d=1.13003 t=13601
shen du xue xi shen jing wang luo 	深度学习神经网络	c=1 d=1 t=4852
shen er mo 	深二模	c=2 d=1 t=18888
shen hai 	深海	c=1 d=1 t=4657
shen jia 	身价	c=1 d=1 t=11732
shen ke de 	深刻的	c=0 d=0.1 t=4872
shen me 	什么	c=238 d=1.04039 t=23402
shen me ce suo 	什么侧锁	c=1 d=1 t=14846
shen me dong xi 	什么东西	c=4 d=1.12809 t=18567
shen me jiao 	什么叫	c=1 d=1 t=11327
shen me le 	什么了	c=1 d=1 t=23077
shen me shi hou 	什么时候	c=1 d=1 t=19648
shen me shi hou kao 	什么时候考	c=1 d=1 t=21359
shen me yang de 	什么样的	c=1 d=1 t=18494
shen me yuan yin 	什么原因	c=1 d=1 t=3110
shen mei 	审美	c=1 d=1 t=1188
shen nong 	神农	c=0 d=0.1 t=6622
shen nong me 	神农么	c=1 d=1 t=6623
shen qi 	神器	c=1 d=1 t=14778
shen qi 	神奇	c=1 d=1 t=11237
shen qing 	申请	c=4 d=2.94128 t=16976
shen qing le 	申请了	c=1 d=1 t=2051
shen ru 	深入	c=4 d=3.61278 t=5390
shen ru li jie 	深入理解	c=2 d=1.60957 t=5468
shen shang 	身上	c=1 d=1 t=2372
shen ta ma 	神他妈	c=1 d=1 t=4766
shen ti shang 	身体上	c=1 d=1 t=3506
shen zhi 	甚至	c=10 d=1 t=19800
sheng 	声	c=1 d=1 t=12509
sheng chan li 	生产力	c=1 d=1 t=19436
sheng cheng 	生成	c=3 d=1.94649 t=20117
sheng cun 	生存	c=3 d=1 t=20105
sheng cun ba 	生存吧	c=3 d=2.77275 t=10738
sheng cun kuang 	生存狂	c=1 d=1.09501 t=10741
sheng cun kuang ba 	生存狂吧	c=1 d=1 t=10742
sheng huan 	生还	c=1 d=1 t=10593
sheng huan zhe 	生还者	c=8 d=4.79126 t=10722
sheng huo 	生活	c=13 d=6.08278 t=23421
sheng huo jian ying 	生活剪影	c=1 d=1 t=23418
sheng huo qie pian 	生活切片	c=1 d=1 t=23389
sheng huo xi gua 	生活西瓜	c=1 d=1 t=8615
sheng ji 	升级	c=15 d=1 t=21166
sheng ming 	声明	c=2 d=1 t=22750
sheng ming zhou qi 	生命周期	c=2 d=1.64082 t=22139
sheng mu 	圣母	c=1 d=1 t=11661
sheng qi 	生气	c=1 d=1 t=14132
sheng xiao 	生效	c=1 d=1 t=21759
sheng yin 	声音	c=4 d=1 t=9921
sheng yu 	剩余	c=1 d=1 t=16644
shi 	史	c=0 d=0.1 t=5725
shi 	屎	c=1 d=1 t=5277
shi 	是	c=345 d=3.16985 t=23297
shi a 	是啊	c=6 d=1 t=21554
shi ba 	是吧	c=1 d=1 t=5662
shi bai 	失败	c=2 d=1 t=22371
shi bei 	是被	c=0 d=0.1 t=4603
shi bei sai 	是被赛	c=1 d=1 t=4604
shi bie 	识别	c=5 d=2.6614 t=13407
shi bu 	是不	c=0 d=0.1 t=1325
shi bu shi 	是不是	c=9 d=1.00009 t=19989
shi cha 	时差	c=0 d=0.1 t=21695
shi cha bu yi yang 	时差不一样	c=1 d=1 t=21696
shi de 	使得	c=1 d=1 t=14340
shi de 	是的	c=3 d=1 t=14339
shi du 	适度	c=1 d=1 t=14573
shi duo shao 	是多少	c=1 d=1 t=262
shi fang 	释放	c=3 d=1 t=20799
shi fen 	十分	c=4 d=1.00001 t=23104
shi fen de 	十分地	c=2 d=1 t=20729
shi fen zhong 	十分钟	c=1 d=1 t=221
shi fou 	是否	c=22 d=1.00542 t=22518
shi fou shi 	是否是	c=1 d=1 t=8063
shi fou shi yi zhong 	是否是一种	c=1 d=1 t=10166
shi fu 	师傅	c=2 d=1.96561 t=5711
shi gu 	事故	c=0 d=0.1 t=6907
shi guang ji qi 	时光机器	c=1 d=1 t=1595
shi he 	适合	c=1 d=1 t=13994
shi he ni men me 	是和你们么	c=1 d=1 t=5
shi hou 	时候	c=32 d=1.1265 t=23145
shi hou zou 	时候走	c=1 d=1 t=20516
shi ji 	世纪	c=1 d=1 t=5532
shi ji 	实际	c=10 d=1 t=22345
shi ji kuai 	十几块	c=1 d=1 t=7774
shi ji nian 	十几年	c=1 d=1 t=12092
shi ji nian qian 	十几年前	c=1 d=0.574734 t=7366
shi ji sang 	实际丧	c=1 d=1 t=3396
shi ji shang 	实际上	c=5 d=1 t=20602
shi jian 	事件	c=1 d=1 t=2234
shi jian 	实践	c=1 d=1 t=14884
shi jian 	时间	c=27 d=1.01398 t=23194
shi jian a 	时间啊	c=1 d=1 t=14773
shi jian ji qi 	时间机器	c=1 d=1 t=1345
shi jie 	世界	c=4 d=2.96042 t=6796
shi jie bei 	世界杯	c=2 d=1 t=8715
shi ke 	时刻	c=1 d=1 t=16665
shi kong guan 	时空观	c=1 d=1 t=14805
shi le 	施乐	c=1 d=1 t=5535
shi le 	试了	c=2 d=0.102081 t=7374
shi le mei 	是了没	c=1 d=1 t=7374
shi le mei 	试了没	c=1 d=1 t=7375
shi le shi 	试了试	c=1 d=1 t=2085
shi le yi xia 	试了一下	c=1 d=1 t=10497
shi li 	实例	c=2 d=1.00001 t=22471
shi li da ka 	实力大咖	c=0 d=0.1 t=14719
shi li da ka ji an shi lao dong ji lv 	实力大咖吉安市劳动纪律	c=1 d=1 t=14720
shi li hua 	实例化	c=1 d=1 t=11209
shi liang 	适量	c=1 d=1 t=17295
shi liu da 	十六大	c=0 d=0.1 t=12778
shi mian 	失眠	c=1 d=1 t=9544
shi ni 	是你	c=1 d=1 t=10183
